City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,guerrero negro,27.9769,-114.0611,16.06,64,100,10.35,MX,1683765758
304,macau,22.2006,113.5461,23.89,88,40,4.63,MO,1683765759
305,dubbo,-32.25,148.6167,16.07,59,0,6.69,AU,1683765700
306,pachino,36.7186,15.0907,15.32,90,0,3.3,IT,1683765759
307,alice springs,-23.7,133.8833,13.75,44,0,0.0,AU,1683765759
308,hassi messaoud,31.6804,6.0729,24.92,31,0,2.57,DZ,1683765759
309,fredonia,42.4401,-79.3317,15.93,46,0,1.54,US,1683765674
310,gorontalo,0.5412,123.0595,30.28,68,72,1.16,ID,1683765760
311,vorgashor,67.5833,63.95,-9.32,97,95,2.31,RU,1683765760
312,east london,-33.0153,27.9116,20.33,34,7,2.55,ZA,1683765760
313,pugachev,52.0133,48.8025,9.85,68,97,2.3,RU,1683765760
314,kerikeri,-35.2268,173.9474,13.84,89,22,0.89,NZ,1683765761
315,machiques,10.0644,-72.545,27.46,74,79,2.19,VE,1683765761
316,corralillo,22.9819,-80.5856,26.02,80,100,5.14,CU,1683765761
317,la passe,45.5549,-0.8967,12.21,83,23,5.27,FR,1683765761
318,brooks,50.5834,-111.8851,17.99,51,100,3.6,CA,1683765762
319,shache,38.4167,77.2406,14.84,14,0,3.08,CN,1683765762
320,san andres,12.5847,-81.7006,29.01,79,40,5.14,CO,1683765762
321,mount pearl,47.5166,-52.7813,3.97,70,40,7.2,CA,1683765762
322,marica,-22.9194,-42.8186,21.95,86,100,2.72,BR,1683765762
323,boca do acre,-8.7522,-67.3978,24.91,79,63,1.05,BR,1683765763
324,adrasmon,40.6472,69.9856,15.58,20,81,2.93,TJ,1683765763
325,delijan,33.9905,50.6838,16.74,32,3,1.16,IR,1683765763
326,andergrove,-21.0833,149.1833,22.08,77,57,7.65,AU,1683765763
327,pembroke,45.8168,-77.1162,20.99,67,61,2.51,CA,1683765481
328,ghadamis,30.1337,9.5007,20.02,47,0,4.17,LY,1683765764
329,bojnurd,37.4747,57.329,12.97,88,100,3.09,IR,1683765764
330,vorkuta,67.5,64.0,-8.43,96,94,2.4,RU,1683765764
331,marion,39.7684,-86.1555,24.18,44,75,3.6,US,1683765764
332,naze,28.3667,129.4833,22.51,55,62,3.39,JP,1683765765
333,wakkanai,45.4094,141.6739,4.99,81,75,5.14,JP,1683765765
334,mitu,1.1983,-70.1733,21.95,100,100,1.13,CO,1683765765
335,barcelos,41.5388,-8.6151,14.36,81,100,3.28,PT,1683765472
336,port lincoln,-34.7333,135.8667,16.51,49,100,8.02,AU,1683765724
337,yei,4.095,30.6779,19.12,94,91,0.78,SS,1683765766
338,kovdor,67.5662,30.4758,1.17,99,100,1.85,RU,1683765766
339,ploudalmezeau,48.5333,-4.65,11.82,87,0,1.54,FR,1683765766
340,utrik,11.2278,169.8474,27.57,81,79,8.61,MH,1683765766
341,forest,37.3638,-79.2897,19.03,52,0,1.54,US,1683765767
342,gijang,35.2442,129.2139,18.85,73,42,5.93,KR,1683765767
343,san-pedro,4.7485,-6.6363,25.75,89,100,1.77,CI,1683767670
344,bathsheba,13.2167,-59.5167,26.34,78,40,3.09,BB,1683767671
345,crane,31.3974,-102.3501,30.47,27,0,9.32,US,1683767671
346,kamaishi,39.2667,141.8833,13.58,46,0,1.63,JP,1683767672
347,manado,1.487,124.8455,32.43,58,20,1.54,ID,1683767672
348,enoch,37.7733,-113.0244,15.14,50,20,3.13,US,1683767673
349,harriman,35.934,-84.5524,22.17,81,0,0.0,US,1683767673
350,el nido,11.1858,119.3956,29.47,71,100,1.61,PH,1683767673
351,gadzhiyevo,69.2551,33.3362,2.38,100,100,2.72,RU,1683767674
352,hilo,19.7297,-155.09,27.38,74,75,3.6,US,1683767674
353,chonchi,-42.6128,-73.8092,13.56,98,87,1.45,CL,1683767674
354,polessk,54.862,21.1028,8.31,77,9,3.36,RU,1683767675
355,minas de marcona,-15.2119,-75.1103,15.09,87,28,5.11,PE,1683767676
356,ketchikan,55.3422,-131.6461,14.26,47,0,8.23,US,1683767676
357,battagram,34.6772,73.0233,15.24,38,25,3.88,PK,1683767677
358,port moresby,-9.4431,147.1797,28.72,75,83,1.94,PG,1683767677
359,sergeyevka,53.88,67.4158,6.84,88,31,4.33,KZ,1683767677
360,karoi,-16.8099,29.6925,12.72,80,9,2.11,ZW,1683767678
361,vilyuchinsk,52.9306,158.4028,5.15,98,100,2.32,RU,1683767678
